Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
AK00012,Bornite Project,"""<Null>""",2018-06-06,copper,Mr00061,<Null>,-156.944535,67.063593,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
AK00012,Bornite Project,"""<Null>""",2018-06-06, cobalt,Mr00061,<Null>,-156.944535,67.063593,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
AK00017,Ambler District,"""<Null>""",2018-06-21,cobalt,Mr00061,<Null>,-156.150351,67.137811,Yes,Yes,No,No,No,No,No,No
AK00017,Ambler District,"""<Null>""",2018-06-21, copper,Mr00061,<Null>,-156.150351,67.137811,Yes,Yes,No,No,No,No,No,No
AK00205,Bohemia Basin,"""<Null>""",2018-04-16,cobalt,Mr00144,<Null>,-136.428,57.98,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
AK00205,Bohemia Basin,"""<Null>""",2018-04-16, nickel,Mr00144,<Null>,-136.428,57.98,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
AK00205,Bohemia Basin,"""<Null>""",2018-04-16, copper,Mr00144,<Null>,-136.428,57.98,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
AK00206,Chichagof District,"""<Null>""",2018-04-13,cobalt,Mr00144,<Null>,-135.199,57.614,Yes,Yes,No,No,No,No,No,No
AK00206,Chichagof District,"""<Null>""",2018-04-13, nickel,Mr00144,<Null>,-135.199,57.614,Yes,Yes,No,No,No,No,No,No
AK00206,Chichagof District,"""<Null>""",2018-04-13, copper,Mr00144,<Null>,-135.199,57.614,Yes,Yes,No,No,No,No,No,No
AK00207,Brady Glacier,"""<Null>""",2018-04-16,cobalt,<Null>,<Null>,-136.932,58.552,Yes,No,Yes,Yes,No,Yes,Yes,Yes
AK00207,Brady Glacier,"""<Null>""",2018-04-16, nickel,<Null>,<Null>,-136.932,58.552,Yes,No,Yes,Yes,No,Yes,Yes,Yes
AK00207,Brady Glacier,"""<Null>""",2018-04-16, copper,<Null>,<Null>,-136.932,58.552,Yes,No,Yes,Yes,No,Yes,Yes,Yes
CA00070,Pine Flat,"""<Null>""",2018-04-23,cobalt,<Null>,<Null>,-123.994,41.991,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
CA00070,Pine Flat,"""<Null>""",2018-04-23, nickel,<Null>,<Null>,-123.994,41.991,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
CA00071,Gasquet,"""Gasquet Laterite; Gasquet Mountain""",2018-06-21,cobalt,<Null>,<Null>,-123.996,41.869,Yes,No,Yes,Yes,No,Yes,Yes,Yes
CA00071,Gasquet,"""Gasquet Laterite; Gasquet Mountain""",2018-06-21, nickel,<Null>,<Null>,-123.996,41.869,Yes,No,Yes,Yes,No,Yes,Yes,Yes
CA00071,Gasquet,"""Gasquet Laterite; Gasquet Mountain""",2018-06-21, chromium,<Null>,<Null>,-123.996,41.869,Yes,No,Yes,Yes,No,Yes,Yes,Yes
ID00005,Blackbird,"""<Null>""",2018-05-08,cobalt,Mr00145,<Null>,-114.343,45.117,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
