OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,DpMd_NoNm,Ref_Detail,DpMd_RefID,GEM_Name,GEM_RefID
1,AK00012,Mo00550,Ruby Creek Zone,2018-06-12,32c - Kipushi Cu-Pb-Zn,Page 227,Cox and Bernstein (1986),Unclassified,<Null>
2,AK00012,Mo00571,South Reef Zone,2018-06-12,32c - Kipushi Cu-Pb-Zn,Page 227,Cox and Bernstein (1986),Unclassified,<Null>
3,AK00205,Mo00729,West Tripod Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
4,AK00205,Mo00730,East Tripod Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
5,AK00205,Mo00731,Tunnel Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
6,AK00205,Mo00732,Side Hill Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
7,AK00205,Mo00733,North Muskeg Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
8,AK00205,Mo00734,South Muskeg Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
9,AK00205,Mo00735,North Takanis Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
10,AK00205,Mo00736,South Takanis Body,2018-04-16,Synorogenic-synvolcanic Ni-Cu,<Null>,Reed and Dorr (1942),Magmatic Sulfides,du Bray (1995)
11,AK00207,Mo00737,Brady Glacier,2018-04-16,Massive Ni-Cu sulfide,Page 78,Cornwall (1971),Magmatic Sulfides,du Bray (1995)
12,CA00070,Mo00761,Pine Flat,2018-04-23,38a - Lateritic Ni,Page 1,Benson (1963),Unclassified,<Null>
13,CA00071,Mo00775,Gasquet,2018-06-22,38a - Lateritic Ni,Page 252,Cox and Singer (1986); Marsh and others (2013),<Null>,<Null>
14,ID00005,Mo00628,Blackbird,2018-05-08,Shear zone hosted Cu-Co-Au,Page 16,Vhay (1947),<Null>,<Null>
15,ID00005,Mo00628,Blackbird,2018-05-08,Iron oxide-copper-gold,Page 275,Slack (2006),<Null>,<Null>
16,ID00005,Mo00628,Blackbird,2018-05-08,Syn-sedimentary Cu-Co-Au,Page 99,Nash and Connor (1993),<Null>,<Null>
17,ID00050,Mo00716,Ram,2018-05-08,Shear zone hosted Cu-Co-Au,Page 16,Vhay (1947),<Null>,<Null>
18,ID00050,Mo00716,Ram,2018-05-08,Syn-sedimentary Cu-Co-Au,Page 99,Nash and Connor (1993),<Null>,<Null>
