OID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Ftr_Type,Commodity,Value_Mat,Assoc_Mat,Min_Style,Min_Age,Host_Age,Host_Name,Host_Litho,Alteration,Ref_ID,Remarks
1,AK00012,Mo00550,Ruby Creek Zone,6/7/2018,Deposit,copper; cobalt,chalcopyrite; bornite; chalcocite; pyrite; carrollite; cobaltiferous pyrite (1),carrolllite; digenite; tennantite-tetrahedrite; covellite,disseminated; stringer-style veins; stratiform massive sulphides,Devonian,Lower Devonian to Upper Silurian,Bornite carbonate sequence,marble; argillaceous marble; dolostone; phyllite; phyllitic marble;,dolomitization; hydrothermal,Davis and others (2016),(1) Trilogy Metals Inc. (2018)
2,AK00012,Mo00571,South Reef Zone,6/7/2018,Deposit,copper; cobalt,chalcopyrite; bornite; chalcocite; pyrite; carrollite; cobaltiferous pyrite (1),carrolllite; digenite; tennantite-tetrahedrite; covellite,disseminated; stringer-style veins; stratiform massive sulphides,Devonian,Lower Devonian to Upper Silurian,Bornite carbonate sequence; Beaver Creek phyllite,marble; argillaceous marble; dolostone; phyllite; phyllitic marble; quartzite,dolomitization; hydrothermal,Davis and others (2016),(1) Trilogy Metals Inc. (2018)
3,AK00205,Mo00729,West Tripod Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
4,AK00205,Mo00730,East Tripod Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
5,AK00205,Mo00731,Tunnel Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
6,AK00205,Mo00732,Side Hill Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
7,AK00205,Mo00733,North Muskeg Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
8,AK00205,Mo00734,South Muskeg Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
9,AK00205,Mo00735,North Takanis Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
10,AK00205,Mo00736,South Takanis Body,4/16/2018,Deposit,copper; nickel; cobalt,pentlandite; pyrrhotite; chalcopyrite,<Null>,<Null>,<Null>,<Null>,<Null>,norite,<Null>,Reed and Dorr (1942),<Null>
11,AK00207,Mo00737,Brady Glacier,4/16/2018,Deposit,copper; nickel; cobalt,pyrrhotite; pentlandite; chalcopyrite,<Null>,grains; veinlets; lenticular masses,<Null>,<Null>,<Null>,gabbro; peridotite,<Null>,Cornwall (1971),<Null>
12,CA00070,Mo00761,Pine Flat,4/23/2018,Deposit,cobalt; nickel,olivine; serpentine; limonite; hematite,magnetite; orthopyroxene; chromite; clinopyroxene; talc; pyrolusite; chlorite; clay minerals; quartz,<Null>,<Null>,<Null>,<Null>,peridotite; laterites,<Null>,Benson (1963),<Null>
13,CA00071,Mo00775,Gasquet,6/22/2018,Deposit,cobalt; nickel; chromium,laterite; saprolite; serpentine,limonite; hematite; goethite; chromite,lenses (1),<Null>,Jurassic (1),Galice Formation (1),slate; phyllite; limestone; andesite,chloritized (1),Hotz (1964),(1) Cater and Wells (1953)
14,ID00005,Mo00628,Blackbird,5/8/2018,Deposit,copper; cobalt; gold; silver,cobaltite; pyrite; chalcopyrite; cobaltian arsenopyrite; pyrrhotite; gold; silver,biotite; tourmaline; quartz; siderite; xenotime; monazite; bismuth,<Null>,110 +/- 3 (1); 92 +/- 5 (1),Mesoproterozoic,Apple Creek Formation,siltite; phyllite; argillite,<Null>,Bookstrom and others (2016),(1) Aleinikoff and others (2012)
15,ID00050,Mo00716,Ram,5/8/2018,Deposit,cobalt; copper; gold,cobaltite; linnaeite; safflorite; enargite; pyrite (1); chalcopyrite; cobaltian arsenopyrite (1); gold; silver  (1),biotite (1); tourmaline (1); quartz; siderite (1); xenotime; monazite; bismuth (1); allanite; loellingite; marcasite; pyrrhotite,disseminations; bands; blebs; stringers,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,phyllite (1),silicification; chloritization; potassic,Foo and others (2017),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
16,ID00050,Mo00717,Sunshine,5/8/2018,Deposit,cobalt; copper; gold,cobaltite; linnaeite; safflorite; enargite; pyrite (1); chalcopyrite; cobaltian arsenopyrite (1); gold; silver  (1),biotite (1); tourmaline (1); quartz; siderite (1); xenotime; monazite; bismuth (1); allanite; loellingite; marcasite; pyrrhotite (1),disseminations; blebs; stringers,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,phyllite (1),silicification; chloritization; potassic,Foo and others (2017),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
17,ID00051,Mo00750,Sulfate Zone,5/8/2018,Prospect,copper; cobalt; iron,magnetite; pyrite,malachite; quartz,<Null>,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,siltite (1); phyllite,<Null>,Cullen (2016),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
18,ID00051,Mo00751,No Name Zone,5/8/2018,Deposit,copper; cobalt; iron,pyrite; magnetite; chalcopyrite; native copper; cobaltian pyrite; cobaltite; malachite,quartz; jarosite; goethite; hematite; chlorite; pyrrhotite,pods; lenses; crystals; veins; disseminations,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,siltite (1); argillite,oxidation; silicified,Cullen (2016),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
19,ID00051,Mo00752,Footwall No Name Zone,5/8/2018,Prospect,copper; cobalt,<Null>,<Null>,<Null>,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,siltite,<Null>,Cullen (2016),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
20,ID00051,Mo00753,Jackass Zone,5/8/2018,Prospect,copper; cobalt; iron,chalcopyrite; magnetite; pyrite,<Null>,lenses,110 +/- 3 (2); 92 +/- 5 (2),Mesoproterozoic (1),Apple Creek Formation,siltite (1); argillite,silicified; oxidized,Cullen (2016),(1) Bookstrom and others (2016); (2) Aleinikoff and others (2012)
21,ID00052,Mo00738,Salmon Canyon,4/16/2018,Deposit,copper; cobalt; gold; silver,chalcopyrite; chalcocite; cobaltite (1); pyrrhotite (1),pyrite; arsenopyrite; galena; quartz; garnet; magnetite (1),blebs (1); porphyroblastic crystals (1),<Null>,Precambrian,Yellowjacket Formation,quartz-biotite schist,<Null>,Johnson and others (1998),(1) Nold (1990)
22,ME00002,Mo00770,Union,5/11/2018,Deposit,cobalt; nickel; copper,pyrrhotite; pentlandite; chalcopyrite,quartz monzonite; granite; granite pegmatite; gabbro; peridotite,disseminated,<Null>,Late Ordovician,Penobscot Formation,schist; quartz; biotite; sillimanite; muscovite; gneissic,contact metamorphism,Rainville and Park (1976),<Null>
23,ME00003,Mo00771,Warren,5/11/2018,Deposit,cobalt; nickel,plagioclase; pyrrhotite; pentlandite; chalcopyrite,gabbro; augite; hornblende; cummingtonite; quartz; olivine; garnet; apatite; diorite,disseminated,<Null>,Late Ordovician,Penobscot Formation,schist; quartz; biotite; sillimanite; muscovite; gneissic,contact metamorphism,Rainville and Park (1976),<Null>
24,MI00001,Mo00362,Eagle East,4/4/2018,Deposit,nickel; copper; cobalt; gold; silver; platinum; palladium,chalcopyrite; cubanite; pyrrhotite; pentlandite; violarite; millerite,<Null>,veins; patches; blebs; crystals,1107.2 +/- 5.7 Ma (1),Paleoproterozoic,Yellow Dog Peridotites,peridotite,serpentinization; chloritization; saussuritization; talc-carbonate alteration,Clow and others (2017),(1) Ding and others (2010)
25,MI00001,Mo00362,Eagle,4/4/2018,Deposit,nickel; copper; cobalt; gold; silver; platinum; palladium,chalcopyrite; cubanite; pyrrhotite; pentlandite; violarite; millerite,<Null>,veins; patches; blebs; crystals,1107.2 +/- 5.7 Ma (1),Paleoproterozoic,Yellow Dog Peridotites,peridotite,serpentinization; chloritization; saussuritization; talc-carbonate alteration,Clow and others (2017),(1) Ding and others (2010)
26,MI00001,Mo00363,Eagle East,4/4/2018,Deposit,nickel; copper; cobalt; gold; silver; platinum; palladium,chalcopyrite; cubanite; pyrrhotite; pentlandite; violarite; millerite,<Null>,veins; patches; blebs; crystals,1107.2 +/- 5.7 Ma (1),Paleoproterozoic,Yellow Dog Peridotites,peridotite,serpentinization; chloritization; saussuritization; talc-carbonate alteration,Clow and others (2017),(1) Ding and others (2010)
27,MN00002,Mo00746,NorthMet,4/16/2018,Deposit,copper; nickel; platinum; palladium; gold; cobalt; silver,chalcopyrite; cubanite; pentlandite; pyrrhotite; platinum; gold; palladium,<Null>,<Null>,<Null>,<Null>,Partridge River Intrusion,troctolitic anorthosite; anorthositic troctolite; troctolite; augite troctolite,<Null>,Black and others (2018),<Null>
28,MN00003,Mo00719,Birch Lake,4/13/2018,Deposit,copper; nickel; platinum; palladium; gold,talnakhite; bornite; mooihoekite; putoranite; haycockite; chromian spinel; chromite; native copper; troilite; bornite; chalcocite; cubanite; heazlewoodite; pentlandite; altaite; digenite; frobergite; galena; mackinawite; millerite; native silver; silver telluride,sphalerite; ilmenite; magnetite,eutectic and replacement; grains; seams; veinlets,<Null>,1.1 Ga,South Kawishiwi Intrusive,troctolite; gabbro; anorthosite,saussuritization; serpentinization,Barber and others (2014),<Null>
29,MN00003,Mo00720,Maturi Southwest,4/13/2018,Deposit,copper; nickel; platinum; palladium; gold; silver; cobalt,chalcopyrite; cubanite; pentlandite; pyrrhotite; talnakhite; bornite; covellite; millerite; michenerite; moncheite; paolovite,sphalerite,grains; lamellae; patches,<Null>,1.1 Ga,South Kawishiwi Intrusive,troctolite; augite troctolite; melatroctolite; olivine gabbro; anorthositic gabbro; norite; gabbronorite,saussuritization; serpentization; uralitization,Barber and others (2014),<Null>
30,MN00003,Mo00721,Maturi,4/13/2018,Deposit,copper; nickel; platinum; palladium; gold; silver; cobalt,chalcopyrite; cubanite; pentlandite; pyrrhotite; talnakhite; bornite; covellite; millerite; michenerite; moncheite; paolovite,sphalerite,grains; lamellae; patches,<Null>,1.1 Ga,South Kawishiwi Intrusive,troctolite; augite troctolite; melatroctolite; olivine gabbro; anorthositic gabbro; norite; gabbronorite,saussuritization; serpentization; uralitization; sericitized,Barber and others (2014),<Null>
31,MN00003,Mo00722,Spruce Road,4/13/2018,Deposit,copper; nickel,chalcopyrite; cubanite; pyrrhotite; pentlandite; bornite; neodigenite; covellite; chalcocite; tenorite; cuprite; native copper; violarite; mackinawite,olivine; magnetite; pyrite; sphalerite; ilmenite,aggregates; blebs; stringers; grains,<Null>,1.1 Ga,South Kawishiwi Intrusive,troctolite,serpentinization; saussuritization; uralitization,Barber and others (2014),<Null>
32,MN00008,Mo00739,164 Zone,4/16/2018,Prospect,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains; veins; pods,<Null>,<Null>,<Null>,gabbro; magmatic breccia; peridotite,<Null>,Fletcher and others (2018),<Null>
33,MN00008,Mo00740,138 Zone,4/16/2018,Deposit,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains,<Null>,<Null>,<Null>,peridotite; feldspathic peridotite,<Null>,Fletcher and others (2018),<Null>
34,MN00008,Mo00741,SMSU Zone,4/16/2018,Deposit,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains,<Null>,<Null>,<Null>,feldspathic peridotite,<Null>,Fletcher and others (2018),<Null>
35,MN00008,Mo00742,MSU Zone,4/16/2018,Deposit,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains,<Null>,<Null>,<Null>,metasediments; peridotite,<Null>,Fletcher and others (2018),<Null>
36,MN00008,Mo00743,CGO Bend Zone,4/16/2018,Prospect,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains,<Null>,<Null>,<Null>,feldspathic peridotite; peridotite,<Null>,Fletcher and others (2018),<Null>
37,MN00008,Mo00744,480 Zone,4/16/2018,Prospect,nickel; copper; cobalt; platinum; palladium; gold,pyrrhotite; pentlandite; chalcopyrite; cubanite,<Null>,grains,<Null>,<Null>,<Null>,peridotite,<Null>,Fletcher and others (2018),<Null>
