OID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Status,StatDetail,Year_From,Year_To,Ref_Detail,Ref_ID,Remarks
1,AK00012,-1111,Bornite Project,6/7/2018,Exploration,"Kennecott (BCMC) completed 181 core holes totaling 48,729 m.",1957,1997,Page 6-22,Davis and others (2016),<Null>
2,AK00012,-1111,Bornite Project,6/7/2018,Evaluation,"Evaluation with an intensive soil, stream, and rock chip geochemical sampling program",1995,1997,Page 6-20,Davis and others (2016),<Null>
3,AK00012,-1111,Bornite Project,6/7/2018,Development,Sank exploration shaft,1966,1966,Page 6-20,Davis and others (2016),<Null>
4,AK00012,-1111,Bornite Project,6/7/2018,Discovery,Discovered outcropping mineralization along Ruby Creek (Bornite) on the north side of the Cosmos Hills.,1947,1947,Page 6-20,Davis and others (2016),<Null>
5,AK00012,-1111,Bornite Project,6/7/2018,Exploration,NovaGold performed exploration through magnetic and radiometric surveys,2006,2015,Page 9-46 to 9-48,Davis and others (2016),<Null>
6,AK00012,-1111,Bornite Project,6/7/2018,Evaluation,Aeromagnetic survey completed by the Alaska Department of Natural Resources and Geometries,1974,1975,Page 6-21,Davis and others (2016),<Null>
7,AK00205,-1111,Bohemia Basin,4/16/2018,Discovery,Sulphide-bearing bodies discovered,1921,1921,Page 118,Reed and Dorr (1942),<Null>
8,AK00207,Mo00737,Brady Glacier,4/16/2018,Exploration,Sampling and drilling,1958,1961,Pages 81-82,Cornwall (1971),<Null>
9,AK00207,Mo00737,Brady Glacier,4/16/2018,Discovery,Massive and disseminated nickel-copper sulfides discovered,1958,1958,Page 79,Cornwall (1971),<Null>
10,CA00070,Mo00761,Pine Flat,4/23/2018,Evaluation,Phase 1 of feasibility study completed,1986,1986,Page 103,Benson (1963),<Null>
11,CA00070,Mo00761,Pine Flat,4/23/2018,Exploration,Sampling and exploration,1954,1958,Page 2,Benson (1963),<Null>
12,CA00070,Mo00761,Pine Flat,4/23/2018,Discovery,Nickel-bearing laterites discovered,1954,1954,Page 2,Benson (1963),<Null>
