OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Assoc_Dep,Material,Year_From,Year_To,Mat_Type,Mat_Amnt,Mat_Units,Grade,Grade_Unit,CutOffGrad,CutOffUnit,Contained,Cont_Units,Rcvry_Amt,Rcvry_Unit,Prod_USD,MatAmntSI,MatUnitsSI,GradeSI,GradUnitSI,COG_SI,COU_SI,CntSIComAm,CntSIComUt,CntSICom,RcvryAmtSI,RcvryUntSI,Ref_Detail,Ref_ID,Remarks
1,ID00005,Mf00284,Blackbird Mine,7/19/2018,Mo00628,copper,1939,1968,ore,-283741,tons,<Null>,<Null>,<Null>,<Null>,53450171,pounds,<Null>,<Null>,<Null>,-257406.111,metric tons,<Null>,<Null>,<Null>,<Null>,24245.111,metric tons,Cu,<Null>,<Null>,Page 25,Johnson and others (1998),<Null>
2,ID00005,Mf00284,Blackbird Mine,7/19/2018,Mo00628,cobalt,1939,1968,ore,-283741,tons,<Null>,<Null>,<Null>,<Null>,13865496,pounds,<Null>,<Null>,<Null>,-257406.111,metric tons,<Null>,<Null>,<Null>,<Null>,6289.111,metric tons,Co,<Null>,<Null>,Page 25,Johnson and others (1998),<Null>
3,ID00005,Mf00284,Blackbird Mine,7/19/2018,Mo00628,gold,1939,1968,ore,-283741,tons,<Null>,<Null>,<Null>,<Null>,24136,ounces,<Null>,<Null>,<Null>,-257406.111,metric tons,<Null>,<Null>,<Null>,<Null>,0.750711,metric tons,Au,<Null>,<Null>,Page 25,Johnson and others (1998),<Null>
4,ID00005,Mf00284,Blackbird Mine,7/19/2018,Mo00628,silver,1939,1968,ore,-283741,tons,<Null>,<Null>,<Null>,<Null>,53544,ounces,<Null>,<Null>,<Null>,-257406.111,metric tons,<Null>,<Null>,<Null>,<Null>,1.665111,metric tons,Ag,<Null>,<Null>,Page 25,Johnson and others (1998),<Null>
5,MI00001,Mf00280,Eagle Mine,7/19/2018,Mo00362,copper,2014,2016,concentrate,52000,tonnes,<Null>,<Null>,<Null>,<Null>,52000,metric tons,<Null>,<Null>,<Null>,52000,metric tons,<Null>,<Null>,<Null>,<Null>,52000,metric tons,Cu,<Null>,<Null>,<Null>,Clow and others (2017),Production calculated from multiple sources
6,MI00001,Mf00280,Eagle Mine,7/19/2018,Mo00362,nickel,2014,2016,concentrate,55000,tonnes,<Null>,<Null>,<Null>,<Null>,55000,metric tons,<Null>,<Null>,<Null>,55000,metric tons,<Null>,<Null>,<Null>,<Null>,55000,metric tons,Ni,<Null>,<Null>,<Null>,Clow and others (2017),Production calculated from multiple sources
7,MO00013,Mf00285,Madison Mine,7/19/2018,Mo00559,iron,1944,1961,ore,-4156701,metric tons,6.39,percent,<Null>,<Null>,265613.111,metric tons,<Null>,<Null>,<Null>,-4156701,metric tons,6.39,percent,<Null>,<Null>,265613.111,metric tons,Fe,<Null>,<Null>,Page 1,Brooke (1981),<Null>
8,MO00013,Mf00285,Madison Mine,7/19/2018,Mo00559,lead,1944,1961,ore,-4156701,metric tons,2.39,percent,<Null>,<Null>,99345.111,metric tons,<Null>,<Null>,<Null>,-4156701,metric tons,2.39,percent,<Null>,<Null>,99345.111,metric tons,Pb,<Null>,<Null>,Page 1,Brooke (1981),<Null>
9,MO00013,Mf00285,Madison Mine,7/19/2018,Mo00559,copper,1944,1961,ore,-4156701,metric tons,0.69,percent,<Null>,<Null>,28681.111,metric tons,<Null>,<Null>,<Null>,-4156701,metric tons,0.69,percent,<Null>,<Null>,28681.111,metric tons,Cu,<Null>,<Null>,Page 1,Brooke (1981),<Null>
10,MO00013,Mf00285,Madison Mine,7/19/2018,Mo00559,nickel,1944,1961,ore,-4156701,metric tons,0.29,percent,<Null>,<Null>,12054.111,metric tons,<Null>,<Null>,<Null>,-4156701,metric tons,0.29,percent,<Null>,<Null>,12054.111,metric tons,Ni,<Null>,<Null>,Page 1,Brooke (1981),<Null>
