OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Material,Rsrc_Date,Mat_Type,Mat_Amnt,Mat_Units,Grade,Grade_Unit,CutOffGrad,CutOffUnit,Contained,Cont_Units,MatAmntSI,MatUnitsSI,GradeSI,GradUnitSI,COG_SI,COU_SI,CntSIComAm,CntSIComUt,CntSICom,Rsrc_Class,Rsrc_Descr,Rsrc_Code,Ref_Detail,Ref_ID,Remarks
1,AK00012,Mo00550,Ruby Creek Zone,7/19/2018,cobalt,2018,ore,124600000,tonnes,0.017,percent,0.5,percent copper,45000000,pounds,-124600000,metric tons,0.017,percent,0.5,percent copper,20000.111,metric tons,Co,Inferred,Resource,CIM,"Page 2, Table 1",Trilogy Metals Inc. (2018),<Null>
2,AK00012,Mo00550,Ruby Creek Zone,7/19/2018,copper,2016,ore,40500000,tonnes,1.02,percent,0.5,percent copper,913000000,pounds,-40500000,metric tons,1.02,percent,0.5,percent copper,414000.111,metric tons,Cu,Indicated,Resource,CIM,"Page 2, Table 2",Trilogy Metals Inc. (2018),<Null>
3,AK00012,Mo00550,Ruby Creek Zone,7/19/2018,copper,2016,ore,84100000,tonnes,0.95,percent,0.5,percent copper,1768000000,pounds,84100000,metric tons,0.95,percent,0.5,percent copper,802000.111,metric tons,Cu,Inferred,Resource,CIM,"Page 2, Table 2",Trilogy Metals Inc. (2018),<Null>
4,AK00012,Mo00571,South Reef Zone,7/19/2018,cobalt,2018,ore,-57800000,tonnes,0.025,percent,1.5,percent copper,32000000,pounds,-57800000,metric tons,0.025,percent,1.5,percent copper,14500.111,metric tons,Co,Inferred,Resource,CIM,"Page 2, Table 1",Trilogy Metals Inc. (2018),<Null>
5,AK00012,Mo00571,South Reef Zone,7/19/2018,copper,1961,ore,21230000,tons,3.04,percent,1,percent copper,645000.111,tons,19260000.11,metric tons,3.04,percent,1,percent copper,585000.111,metric tons,Cu,<Null>,Resource,<Null>,"Page 6-5, Table 6.2",Davis and Sim (2013),<Null>
6,AK00012,Mo00571,South Reef Zone,7/19/2018,copper,2016,ore,-57800000,tonnes,2.89,percent,1.5,percent copper,3683000000,pounds,-57800000,metric tons,2.89,percent,1.5,percent copper,1670000.111,metric tons,Cu,Inferred,Resource,CIM,"Page 2, Table 2",Trilogy Metals Inc. (2018),<Null>
7,AK00205,-1111,Bohemia Basin,7/19/2018,nickel,1990,ore,-20000000,tonnes,0.51,percent,<Null>,<Null>,102000.111,tonnes,-20000000,metric tons,0.51,percent,<Null>,<Null>,102000.111,metric tons,Ni,<Null>,Reserve,<Null>,Page 61,Bundtzen and others (1995),<Null>
8,AK00205,-1111,Bohemia Basin,7/19/2018,copper,1990,ore,-20000000,tonnes,0.27,percent,<Null>,<Null>,54000.111,tonnes,-20000000,metric tons,0.27,percent,<Null>,<Null>,54000.111,metric tons,Cu,<Null>,Reserve,<Null>,Page 61,Bundtzen and others (1995),<Null>
9,AK00205,-1111,Bohemia Basin,7/19/2018,cobalt,1990,ore,-20000000,tonnes,0.02,percent,<Null>,<Null>,4000.111,tonnes,-20000000,metric tons,0.02,percent,<Null>,<Null>,4000.111,metric tons,Co,<Null>,Reserve,<Null>,Page 61,Bundtzen and others (1995),<Null>
10,AK00205,Mo00729,West Tripod Body,7/19/2018,nickel,1942,ore,-908000,tons,0.32,percent,<Null>,<Null>,2906,short tons,-824000.111,metric tons,0.32,percent,<Null>,<Null>,2600.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
11,AK00205,Mo00729,West Tripod Body,7/19/2018,copper,1942,ore,-908000,tons,0.26,percent,<Null>,<Null>,2361,short tons,-824000.111,metric tons,0.26,percent,<Null>,<Null>,2100.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
12,AK00205,Mo00730,East Tripod Body,7/19/2018,copper,1942,ore,-109000,tons,0.33,percent,<Null>,<Null>,360,short tons,-99000.111,metric tons,0.33,percent,<Null>,<Null>,327.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
13,AK00205,Mo00730,East Tripod Body,7/19/2018,nickel,1942,ore,-109000,tons,0.44,percent,<Null>,<Null>,480,short tons,-99000.111,metric tons,0.44,percent,<Null>,<Null>,435.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
14,AK00205,Mo00731,Tunnel Body,7/19/2018,nickel,1942,ore,-1386000,tons,0.52,percent,<Null>,<Null>,7207,short tons,-1257000.111,metric tons,0.52,percent,<Null>,<Null>,6500.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
15,AK00205,Mo00731,Tunnel Body,7/19/2018,copper,1942,ore,-1386000,tons,0.3,percent,<Null>,<Null>,4158,short tons,-1257000.111,metric tons,0.3,percent,<Null>,<Null>,3800.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
16,AK00205,Mo00732,Side Hill Body,7/19/2018,copper,1942,ore,-166000,tons,0.21,percent,<Null>,<Null>,349,short tons,-151000.111,metric tons,0.21,percent,<Null>,<Null>,317.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
17,AK00205,Mo00732,Side Hill Body,7/19/2018,nickel,1942,ore,-166000,tons,0.26,percent,<Null>,<Null>,432,short tons,-151000.111,metric tons,0.26,percent,<Null>,<Null>,392.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
18,AK00205,Mo00733,North Muskeg Body,7/19/2018,nickel,1942,ore,-110000,tons,0.39,percent,<Null>,<Null>,429,short tons,-99800.111,metric tons,0.39,percent,<Null>,<Null>,390.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
19,AK00205,Mo00733,North Muskeg Body,7/19/2018,copper,1942,ore,-110000,tons,0.35,percent,<Null>,<Null>,385,short tons,-99800.111,metric tons,0.35,percent,<Null>,<Null>,350.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
20,AK00205,Mo00734,South Muskeg Body,7/19/2018,copper,1942,ore,-766000,tons,0.25,percent,<Null>,<Null>,1915,short tons,-695000.111,metric tons,0.25,percent,<Null>,<Null>,1700.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
21,AK00205,Mo00734,South Muskeg Body,7/19/2018,nickel,1942,ore,-766000,tons,0.23,percent,<Null>,<Null>,1762,short tons,-695000.111,metric tons,0.23,percent,<Null>,<Null>,1600.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
22,AK00205,Mo00735,North Takanis Body,7/19/2018,copper,1942,ore,-91000,tons,0.29,percent,<Null>,<Null>,264,short tons,-83000.111,metric tons,0.29,percent,<Null>,<Null>,240.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
23,AK00205,Mo00735,North Takanis Body,7/19/2018,nickel,1942,ore,-91000,tons,0.32,percent,<Null>,<Null>,291,short tons,-83000.111,metric tons,0.32,percent,<Null>,<Null>,264.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
24,AK00205,Mo00736,South Takanis Body,7/19/2018,nickel,1942,ore,-2317000,tons,0.31,percent,<Null>,<Null>,7183,short tons,-2100000.111,metric tons,0.31,percent,<Null>,<Null>,6500.111,metric tons,Ni,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
25,AK00205,Mo00736,South Takanis Body,7/19/2018,copper,1942,ore,-2317000,tons,0.25,percent,<Null>,<Null>,5793,short tons,-2100000.111,metric tons,0.25,percent,<Null>,<Null>,5300.111,metric tons,Cu,<Null>,Unclassified,<Null>,Page 129,Reed and Dorr (1942),<Null>
26,AK00207,Mo00737,Brady Glacier,7/19/2018,copper,1995,ore,-91000000,tonnes,0.3,percent,<Null>,<Null>,273000.111,tonnes,-91000000,metric tons,0.3,percent,<Null>,<Null>,273000.111,metric tons,Cu,Proven,Reserve,<Null>,Page 60,Bundtzen and others (1995),<Null>
27,AK00207,Mo00737,Brady Glacier,7/19/2018,nickel,1995,ore,-91000000,tonnes,0.5,percent,<Null>,<Null>,455000.111,tonnes,-91000000,metric tons,0.5,percent,<Null>,<Null>,455000.111,metric tons,Ni,Proven,Reserve,<Null>,Page 60,Bundtzen and others (1995),<Null>
28,AK00207,Mo00737,Brady Glacier,7/19/2018,cobalt,1995,ore,-91000000,tonnes,0.03,percent,<Null>,<Null>,27300.111,tonnes,-91000000,metric tons,0.03,percent,<Null>,<Null>,27300.111,metric tons,Co,Proven,Reserve,<Null>,Page 60,Bundtzen and others (1995),<Null>
29,CA00070,Mo00761,Pine Flat,7/19/2018,nickel,1986,ore,-19232000,tons,0.78,percent,<Null>,<Null>,150010.111,tons,-17447000,metric tons,0.78,percent,<Null>,<Null>,136090.111,metric tons,Ni,Probable,Reserve,<Null>,Page 103,Northern Miner (1989),"Additional 5,500,000 tons inferred resource"
30,CA00070,Mo00761,Pine Flat,7/19/2018,cobalt,1986,ore,-19232000,tons,0.062,percent,<Null>,<Null>,11924.111,tons,-17447000,metric tons,0.062,percent,<Null>,<Null>,10817.111,metric tons,Co,Probable,Reserve,<Null>,Page 103,Northern Miner (1989),"Additional 5,500,000 tons inferred resource"
31,CA00071,Mo00775,Gasquet,7/19/2018,chromium,1985,ore,-16000000,tons,2,percent,<Null>,<Null>,320000.111,tons,-15000000.11,metric tons,2,percent,<Null>,<Null>,300000.111,metric tons,Cr,Proven,Ore Reserve,<Null>,Page 171,US OTA (1985),<Null>
32,CA00071,Mo00775,Gasquet,7/19/2018,nickel,1985,ore,-16000000,tons,0.75,percent,<Null>,<Null>,120000.111,tons,-15000000.11,metric tons,0.75,percent,<Null>,<Null>,110000.111,metric tons,Ni,Proven,Ore Reserve,<Null>,Page 171,US OTA (1985),<Null>
33,CA00071,Mo00775,Gasquet,7/19/2018,cobalt,1985,ore,-16000000,tons,0.07,percent,<Null>,<Null>,11000.111,tons,-15000000.11,metric tons,0.07,percent,<Null>,<Null>,10000.111,metric tons,Co,Proven,Ore Reserve,<Null>,Page 171,US OTA (1985),<Null>
34,ID00005,Mo00628,Blackbird,7/19/2018,cobalt,1977,ore,-6500000,tons,0.55,percent,<Null>,<Null>,36000.111,tons,-5900000.111,metric tons,0.55,percent,<Null>,<Null>,32000.111,metric tons,Co,<Null>,Reserve,<Null>,Page 190,Johnson and others (1998),Based on Bennett (1977)
