SiteStatus_ID,Site_ID *,Ftr_ID *
SS_01,AK00012,-1111
SS_02,AK00205,-1111
SS_03,AK00207,Mo00737
SS_04,CA00070,Mo00761
SS_05,CA00071,Mo00775
SS_06,ID00005,Mf00284
SS_07,ID00005,Mo00628
SS_08,ID00050,-1111
SS_09,ID00051,-1111
SS_010,ID00051,Mo00751
SS_011,ID00052,Mo00738
SS_012,ME00002,Mo00770
SS_013,ME00003,Mo00771
SS_014,MI00001,Mf00280
SS_015,MI00001,Mo00362
SS_016,MI00001,Mo00363
SS_017,MN00002,Mo00746
SS_018,MN00003,Mo00719
SS_019,MN00003,Mo00720
SS_020,MN00003,Mo00721
SS_021,MN00003,Mo00722
SS_022,MN00008,-1111
SS_023,MO00002,Mo00774
SS_024,MO00013,Mf00285
SS_025,MO00013,Mo00559
SS_026,MO00014,Mo00560
SS_027,MT00002,-1111
SS_028,NM00041,Mf00579
SS_029,NM00042,Mr00154
SS_030,OR00001,Mo00748
SS_031,OR00002,Mo00561
SS_032,OR00005,Mf00577
SS_033,OR00005,Mo00767
SS_034,PA00001,Mf00574
SS_035,PA00001,Mo00749
SS_036,TN00001,Mr00037
